year,state,name,FiscalYear, Total Taxes , Property Tax (T01) , Tot Sales & Gr Rec Tax , Total Gen Sales Tax (T09) , Total Select Sales Tax , Alcoholic Beverage Tax (T10) , Amusement Tax (T11) , Insurance Premium Tax (T12) , Motor Fuels Tax (T13) , Parimutuels Tax (T14) , Public Utility Tax (T15) , Tobacco Tax (T16) , Other Select Sales Tax (T19) , Total License Taxes , Alcoholic Beverage Lic (T20) , Amusement License (T21) , Corporation License (T22) , Hunt and Fish License (T23) , Motor Veh & Oper Lic , Motor Vehicle License (T24) , Motor Veh Oper License (T25) , Public Utility License (T27) , Occup and Bus Lic NEC (T28) , Other License Taxes (T29) , Total Income Taxes , Individual Income Tax (T40) , Corp Net Income Tax (T41) , Total Other Taxes , Death and Gift Tax (T50) , Docum and Stock Tr Tax (T51) , Severance Tax (T53) , Taxes NEC (T99) 
2009,17,KS STATE GOVT,63009,"6,694,630","80,137","3,044,904","2,227,183","817,721","111,589",515,"136,544","422,865",265,512,"112,943","32,488","301,953","2,745",29,"50,352","23,140","187,125","171,588","15,537","6,840","29,038","2,684","3,102,448","2,731,559","370,889","165,188","22,530",0,"142,658",0
2009,18,KY STATE GOVT,63009,"9,740,886","513,121","4,663,830","2,857,665","1,806,165","111,596",231,"125,168","632,655","4,388","61,229","214,597","656,301","458,548","6,272",350,"82,531","26,724","222,882","206,782","16,100",0,"115,300","4,489","3,705,002","3,315,368","389,634","400,385","41,234","3,166","355,985",0
2009,19,LA STATE GOVT,63009,"10,201,931","64,377","5,202,904","2,963,758","2,239,146","56,881","715,458","484,858","600,786","5,973","12,788","145,578","216,824","464,971",0,0,"232,660","27,844","89,139","78,172","10,967","8,416","103,551","3,361","3,553,178","2,940,633","612,545","916,501","5,068",0,"911,433",0
2009,20,ME STATE GOVT,63009,"3,488,960","41,719","1,640,671","1,012,357","628,314","17,438","26,161","89,528","220,772","2,918","26,763","144,425","100,309","243,168","4,704",727,"7,976","16,006","101,871","91,030","10,841",0,"102,616","9,268","1,513,796","1,370,710","143,086","49,606","31,819","17,787",0,0
2009,21,MD STATE GOVT,63009,"15,285,561","688,535","6,222,911","3,851,341","2,371,570","29,168","19,909","390,848","734,836","1,609","124,914","405,558","664,728","763,284","1,014",27,"91,758","15,595","468,800","438,868","29,932",0,"184,015","2,075","7,227,237","6,478,236","749,001","383,594","205,627","115,670",0,"62,297"
2009,22,MA STATE GOVT,63009,"19,682,914","4,255","6,096,326","3,880,087","2,216,239","72,598","3,366","335,646","654,022","2,773","23,504","587,331","536,999","753,807","2,941",427,"24,429","5,620","387,316","293,845","93,471",0,"219,336","113,738","12,388,638","10,599,085","1,789,553","439,888","259,734","135,595",0,"44,559"
2009,23,MI STATE GOVT,93009,"22,757,818","2,163,428","12,504,160","8,998,942","3,505,218","140,488","121,364","261,003","969,959","7,488","28,913","1,043,532","932,471","1,351,556","14,078",0,"19,585","51,020","933,428","874,833","58,595","25,328","154,244","153,873","6,560,001","5,856,751","703,250","178,673",147,"125,293","53,233",0
2009,24,MN STATE GOVT,63009,"17,161,299","713,019","7,362,340","4,375,200","2,987,140","75,225","37,750","330,206","750,308",705,49,"422,780","1,370,117","1,022,182","1,724","1,143","8,871","58,586","574,009","526,032","47,977",872,"329,440","47,537","7,727,174","6,948,119","779,055","336,584","129,811","160,953","45,820",0
2009,25,MS STATE GOVT,63009,"6,490,579","24,393","4,138,039","3,026,497","1,111,542","42,464","172,429","188,256","425,020",0,"1,961","83,589","197,823","403,120","2,828","5,004","111,892","15,771","158,007","125,497","32,510","8,215","88,486","12,917","1,809,893","1,485,592","324,301","115,134",0,0,"113,762","1,372"
2009,26,MO STATE GOVT,63009,"10,274,618","30,031","4,598,920","3,030,477","1,568,443","31,990","370,447","292,412","707,331",0,0,"107,864","58,399","571,673","5,086","1,713","88,136","31,749","285,713","268,599","17,114","21,325","120,468","17,483","5,050,237","4,771,576","278,661","23,757","3,030","8,576",18,"12,133"
2009,27,MT STATE GOVT,63009,"2,407,400","235,150","529,392",0,"529,392","28,095","62,487","66,755","191,188",96,"50,968","89,776","40,027","297,986","2,087",923,"2,768","45,849","146,440","139,012","7,428",9,"92,600","7,310","991,451","827,196","164,255","353,421",213,0,"349,714","3,494"
2009,28,NE STATE GOVT,63009,"4,000,939","1,964","2,015,283","1,504,174","511,109","26,925","6,225","51,040","292,857",216,"59,116","70,438","4,292","167,014",542,735,"2,269","14,727","84,543","74,723","9,820",0,"47,309","16,889","1,800,533","1,602,091","198,442","16,145",493,"10,934","4,718",0
2009,29,NV STATE GOVT,63009,"5,611,626","231,596","4,355,689","2,684,029","1,671,660","37,867","905,656","238,622","298,135",0,"23,419","119,566","48,395","530,332",0,"99,863","64,913","8,591","179,671","163,707","15,964",0,"172,176","5,118",0,0,0,"494,009",0,"71,043","145,450","277,516"
2009,30,NH STATE GOVT,63009,"2,125,722","392,652","829,654",0,"829,654","12,451",256,"81,543","132,122","1,967","87,002","195,034","319,279","227,589","3,245",174,"38,589","10,324","111,831","98,938","12,893","9,406","53,814",206,"591,622","98,191","493,431","84,205",77,"84,128",0,0
2009,31,NJ STATE GOVT,63009,"27,186,553","2,405","11,726,016","8,188,990","3,537,026","104,372","375,679","507,344","540,568",0,"1,002,754","766,142","240,167","1,401,857","7,838","71,230","263,405","13,304","529,166","486,875","42,291","1,570","512,812","2,532","13,061,337","10,663,866","2,397,471","994,938","639,544","355,394",0,0
2009,32,NM STATE GOVT,63009,"4,817,277","65,076","2,484,612","1,881,651","602,961","39,250","62,233","128,731","188,963",614,"33,323","41,619","108,228","214,745","3,583",420,"13,012","23,537","149,838","145,964","3,874",851,"22,468","1,036","1,121,000","958,500","162,500","931,844",32,0,"931,812",0
2009,33,NY STATE GOVT,33109,"64,756,423",0,"20,238,418","11,073,898","9,164,520","206,453",773,"1,111,852","1,613,302","27,939","799,294","1,337,665","4,067,242","1,255,337","43,701",69,"62,981","47,059","861,239","723,000","138,239","29,180","209,057","2,051","41,267,694","36,840,019","4,427,675","1,994,974","1,165,247","829,727",0,0
2009,34,NC STATE GOVT,63009,"20,525,663",0,"8,435,185","4,963,434","3,471,751","264,067","14,748","506,452","1,515,944",0,"393,923","243,370","533,247","1,474,278","15,261",0,"534,642","16,877","703,345","572,968","130,377",0,"196,785","7,368","10,461,798","9,560,353","901,445","154,402","116,624","36,038","1,740",0
2009,35,ND STATE GOVT,63009,"2,414,494","1,942","944,568","607,171","337,397","7,161","10,352","34,583","143,796",304,"36,822","24,114","80,265","140,820",250,286,0,"14,903","82,715","78,599","4,116",6,"42,660",0,"499,707","370,165","129,542","827,457",40,0,"827,417",0
2009,36,OH STATE GOVT,63009,"23,920,056",0,"12,149,489","7,328,388","4,821,101","93,782",0,"425,089","1,726,742","9,544","1,172,100","924,764","469,080","2,880,397","33,302","8,551","1,222,426","40,651","886,510","806,294","80,216","31,018","635,544","22,395","8,844,715","8,323,352","521,363","45,455","34,403",0,"11,052",0
2009,37,OK STATE GOVT,63009,"8,192,191",0,"3,158,336","2,162,693","995,643","90,064","13,972","157,894","420,109","1,648","32,729","257,812","21,415","1,020,583","9,831","221,533","63,327","19,824","597,940","582,683","15,257",9,"105,543","2,576","2,887,338","2,544,576","342,762","1,125,934","43,804","12,822","1,067,182","2,126"
2009,38,OR STATE GOVT,63009,"7,115,043","22,121","885,526",0,"885,526","15,852",84,"57,050","397,609","2,149","21,297","248,205","143,280","689,616","3,423","2,631","10,372","40,241","466,877","437,866","29,011","3,289","156,684","6,099","5,406,136","5,162,384","243,752","111,644","87,211","11,395","13,038",0
2009,39,PA STATE GOVT,63009,"30,071,179","55,536","15,096,410","8,496,182","6,600,228","294,334","1,006,612","731,865","2,025,778","13,943","1,382,977","989,716","155,003","2,503,297","16,224","18,342","620,004","68,642","886,539","824,678","61,861","62,546","813,026","17,974","11,290,770","9,550,238","1,740,532","1,125,166","748,648","349,181",0,"27,337"
2009,40,RI STATE GOVT,63009,"2,586,184","1,617","1,383,764","814,511","569,253","10,819",0,"48,771","122,833","2,490","125,385","130,503","128,452","96,880",121,429,"4,289","1,795","52,975","52,317",658,0,"36,317",954,"1,069,382","960,885","108,497","34,541","27,262","7,149",0,130
2009,41,SC STATE GOVT,63009,"7,636,726","9,994","4,078,360","2,910,183","1,168,177","150,146","33,508","125,797","514,667",0,"26,961","30,573","286,525","452,195","8,306","2,600","78,570","15,907","199,276","152,287","46,989",0,"138,676","8,860","3,061,500","2,812,300","249,200","34,677",153,"34,524",0,0
2009,42,SD STATE GOVT,63009,"1,341,758",0,"1,083,611","756,598","327,013","14,232","8,044","63,165","117,489",276,"3,322","68,323","52,162","200,608",553,"7,719","3,033","28,081","50,717","48,655","2,062",0,"100,759","9,746","48,772",0,"48,772","8,767",16,163,"7,668",920
2009,43,TN STATE GOVT,63009,"10,433,133",0,"8,000,471","6,356,962","1,643,509","116,056",0,"299,006","815,611",0,"8,071","301,219","103,546","1,128,651","1,158",353,"524,685","23,464","294,383","251,335","43,048","4,402","274,401","5,805","1,037,946","221,685","816,261","266,065","91,490","138,055","2,413","34,107"
2009,44,TX STATE GOVT,83109,"41,779,699",0,"32,634,977","21,053,923","11,581,054","796,949","37,277","1,253,788","3,034,242","10,602","842,657","1,556,793","4,048,746","6,847,541","70,850","8,365","4,274,325","99,242","1,600,385","1,496,478","103,907","21,798","674,840","97,736",0,0,0,"2,297,181","2,004",0,"2,295,177",0
2009,45,UT STATE GOVT,63009,"5,422,858",0,"2,398,162","1,744,035","654,127","40,762",0,"132,214","350,469",0,"26,117","59,821","44,744","356,742","1,890",0,"3,249","28,752","271,164","256,863","14,301",0,"45,734","5,953","2,565,512","2,319,632","245,880","102,442",321,0,"102,121",0
2009,46,VT STATE GOVT,63009,"2,505,704","911,811","822,006","321,162","500,844","20,682",0,"56,111","84,044",0,"12,022","63,796","264,189","98,363",371,39,"2,053","6,401","68,879","62,890","5,989",0,"16,253","4,367","619,670","532,911","86,759","53,854","23,397","26,472",0,"3,985"
2009,47,VA STATE GOVT,63009,"16,607,511","31,375","5,638,353","3,372,974","2,265,379","180,096",96,"387,305","891,401",0,"151,278","167,579","487,624","670,999","11,514",118,"53,675","22,421","408,831","350,852","57,979",0,"170,158","4,282","9,827,845","9,194,355","633,490","438,939","6,005","313,594","1,997","117,343"
2009,48,WA STATE GOVT,63009,"16,407,536","1,785,065","13,110,784","10,035,359","3,075,425","276,082",98,"408,464","1,181,837","2,858","467,235","431,998","306,853","928,056","11,336","7,240","24,652","32,936","519,231","455,901","63,330","19,202","254,931","58,528",0,0,0,"583,631","138,535","415,415","29,681",0
2009,49,WV STATE GOVT,63009,"4,787,352","4,868","2,226,323","1,110,017","1,116,306","9,479",0,"113,528","384,538","2,410","163,291","115,095","327,965","192,985","17,483",15,"2,463","17,060","93,738","89,837","3,901","18,910","43,100",216,"1,977,933","1,557,403","420,530","385,243",29,"8,537","376,677",0
2009,50,WI STATE GOVT,63009,"14,447,245","134,006","6,647,399","4,084,147","2,563,252","54,047",329,"152,050","970,173",678,"309,838","593,575","482,562","959,232","1,268",641,"17,122","72,187","507,729","465,014","42,715","63,455","291,512","5,318","6,628,049","5,971,177","656,872","78,559","20,853","41,160","5,669","10,877"
2009,51,WY STATE GOVT,63009,"2,763,610","287,169","1,120,303","989,738","130,565","1,672",0,"29,845","67,134",192,"4,158","26,449","1,115","152,210",0,0,"11,533","36,544","83,283","81,105","2,178",0,"20,850",0,0,0,0,"1,203,928",113,0,"1,197,540","6,275"
2008,0,US STATE GOVTS,N/A,"779,716,635","12,685,598","358,824,699","240,165,120","118,659,579","5,290,145","6,548,762","15,765,657","37,632,179","218,582","14,817,630","16,068,195","22,318,429","49,066,849","453,507","930,221","10,436,785","1,425,281","21,732,666","19,557,824","2,174,842","1,165,952","12,061,959","860,478","327,856,472","277,996,021","49,860,451","31,283,017","5,100,767","7,741,401","17,808,329","632,520"
2008,1,AL STATE GOVT,93008,"9,070,530","301,034","4,433,108","2,287,288","2,145,820","164,827",86,"293,955","545,726","2,668","782,444","145,020","211,094","487,934","3,431",0,"103,042","15,835","230,449","212,687","17,762","13,051","122,125",1,"3,602,361","3,077,553","524,808","246,093",0,"48,512","197,581",0
2008,2,AK STATE GOVT,63008,"8,732,385","81,518","277,033",0,"277,033","36,567","9,456","54,698","41,985",0,"4,091","73,451","56,785","137,258","1,924",1,878,"27,812","55,135","55,135",0,354,"40,339","10,815","1,297,513",0,"1,297,513","6,939,063",23,0,"6,939,040",0
2008,3,AZ STATE GOVT,63008,"13,153,271","901,872","7,593,465","5,741,914","1,851,551","64,556",569,"470,297","731,345",430,"38,010","407,420","138,924","420,770","11,994",37,"11,232","29,232","245,845","218,763","27,082","11,994","98,925","11,511","4,193,087","3,408,576","784,511","44,077",320,0,"43,757",0
2008,4,AR STATE GOVT,63008,"7,530,504","682,174","3,778,217","2,807,943","970,274","42,843","6,681","147,434","471,214","5,282",0,"147,482","149,338","307,342","1,959",308,"22,835","20,167","154,928","140,112","14,816","9,200","96,901","1,044","2,687,405","2,344,876","342,529","75,366",0,"35,219","27,820","12,327"
2008,5,CA STATE GOVT,63008,"117,361,976","2,279,103","39,807,724","31,972,874","7,834,850","327,260",0,"2,172,936","3,421,457","34,949","754,799","1,037,457","85,992","7,642,180","47,839","12,555","61,467","95,460","2,939,817","2,704,632","235,185","669,928","3,795,476","19,638","67,595,067","55,745,970","11,849,097","37,902","6,303",0,"31,599",0
2008,6,CO STATE GOVT,63008,"9,624,636",0,"3,519,589","2,312,731","1,206,858","35,472","108,187","190,750","637,193","2,747","11,810","220,699",0,"377,179","6,085",714,"13,115","75,023","233,177","219,590","13,587","14,250","33,717","1,098","5,575,967","5,067,981","507,986","151,901",427,0,"151,474",0
2008,7,CT STATE GOVT,63008,"13,946,399",0,"5,812,903","3,545,734","2,267,169","47,016","451,789","199,297","489,839","8,308","241,913","334,907","494,100","355,345","6,478",35,"17,399","5,831","240,566","201,364","39,202",0,"79,686","5,350","7,456,350","6,851,937","604,413","321,801","166,318","155,471",12,0
2008,8,DE STATE GOVT,63008,"2,930,955",0,"484,515",0,"484,515","14,735",0,"93,974","117,746",143,"49,805","125,337","82,775","1,033,345",804,434,"618,856","1,995","49,227","46,413","2,814","6,888","244,748","110,393","1,315,535","1,006,859","308,676","97,560",460,"95,966",0,"1,134"
2008,10,FL STATE GOVT,63008,"35,977,055","2,100","29,420,120","21,518,100","7,902,020","609,185","131,978","714,400","2,289,166","19,227","3,159,400","443,732","534,932","1,879,315","36,833","9,000","220,112","15,501","1,314,729","1,153,139","161,590","33,175","246,783","3,182","2,208,600",0,"2,208,600","2,466,920","12,220","2,398,700","56,000",0
2008,11,GA STATE GOVT,63008,"18,070,032","81,928","7,688,845","5,796,653","1,892,192","165,640",0,"348,218","1,011,202",0,0,"233,158","133,974","496,270","2,343",136,"32,423","20,907","361,544","296,648","64,896",26,"70,090","8,801","9,788,518","8,845,476","943,042","14,471",50,"14,421",0,0
2008,12,HI STATE GOVT,63008,"5,147,569",0,"3,302,179","2,619,595","682,584","45,620",0,"99,158","94,080",0,"127,481","89,265","226,980","156,781",0,0,"1,575",424,"111,666","111,262",404,"15,819","25,790","1,507","1,650,129","1,544,835","105,294","38,480",164,"38,316",0,0
2008,13,ID STATE GOVT,63008,"3,651,917",0,"1,743,294","1,347,327","395,967","7,562",0,"83,213","239,881","1,650","1,599","54,781","7,281","270,270","1,655",411,"2,279","36,403","131,662","124,369","7,293","33,655","60,054","4,151","1,628,712","1,438,518","190,194","9,641",32,0,"6,758","2,851"
2008,14,IL STATE GOVT,63008,"29,916,869","59,134","14,884,175","7,935,417","6,948,758","158,067","733,278","316,282","1,334,664","8,360","1,869,486","613,651","1,914,970","2,343,858","11,488",885,"334,958","34,864","1,458,980","1,381,390","77,590","9,000","487,297","6,386","12,180,000","10,320,000","1,860,000","449,702","372,862","76,840",0,0
2008,15,IN STATE GOVT,63008,"15,117,458","7,170","8,396,009","5,738,829","2,657,180","44,707","817,631","188,794","856,301","4,226","214,755","519,871","10,895","799,999","10,719","304,930","3,364","16,709","416,261","190,165","226,096",0,"43,592","4,424","5,747,018","4,837,524","909,494","167,262","165,582",0,"1,680",0
2008,16,IA STATE GOVT,63008,"6,892,041",0,"2,960,567","1,840,862","1,119,705","14,449","294,467","111,647","442,183","4,102",0,"252,857",0,"639,779","10,704","22,917","39,825","26,549","419,006","404,006","15,000","12,868","105,979","1,931","3,195,641","2,848,393","347,248","96,054","79,783","16,271",0,0
2008,17,KS STATE GOVT,63008,"7,159,748","79,026","3,091,221","2,264,747","826,474","106,299",500,"133,913","431,755","1,948",851,"118,253","32,955","303,696","2,653",148,"54,786","21,478","189,381","172,111","17,270","5,373","27,180","2,697","3,472,862","2,944,851","528,011","212,943","44,247",0,"168,696",0
2008,18,KY STATE GOVT,63008,"10,043,875","503,105","4,718,517","2,875,836","1,842,681","107,507",220,"151,809","617,826","5,670","56,906","178,558","724,185","457,343","6,136",245,"75,832","25,520","231,982","212,037","19,945",0,"113,539","4,089","4,016,768","3,483,138","533,630","348,142","51,001","3,807","293,334",0
2008,19,LA STATE GOVT,63008,"11,003,870","46,643","5,538,890","3,459,383","2,079,507","54,993","742,831","478,288","604,377","4,474","13,965","145,578","35,001","498,612",0,0,"252,900","30,902","98,644","87,189","11,455","5,453","107,632","3,081","3,872,882","3,169,686","703,196","1,046,843","11,148",0,"1,035,695",0
2008,20,ME STATE GOVT,63008,"3,785,719","37,280","1,705,306","1,060,557","644,749","17,404","20,391","97,242","229,849","3,000","32,685","150,499","93,679","231,268","4,150",745,"8,014","16,317","96,145","84,322","11,823",0,"96,049","9,848","1,747,354","1,562,839","184,515","64,511","39,891","24,620",0,0
2008,21,MD STATE GOVT,63008,"15,743,757","630,809","6,278,586","3,748,933","2,529,653","28,966","14,783","414,233","808,964","1,806","133,513","376,112","751,276","697,481","1,022",30,"89,736","15,247","471,391","442,018","29,373",0,"117,998","2,057","7,675,458","6,940,134","735,324","461,423","243,425","154,491",0,"63,507"
2008,22,MA STATE GOVT,63008,"22,059,169","3,798","6,206,992","4,098,089","2,108,903","71,935","3,494","396,196","672,654","3,496","24,148","436,942","500,038","685,045","3,081",439,"23,561","5,289","380,619","287,738","92,881","1,500","167,563","102,993","14,676,098","12,496,142","2,179,956","487,236","253,966","188,170",0,"45,100"
2008,23,MI STATE GOVT,93008,"24,781,626","2,264,306","11,920,372","8,225,599","3,694,773","138,779","129,684","223,198","994,937","8,188","21,317","1,076,087","1,102,583","1,354,001","14,124",0,"20,347","47,073","944,745","892,817","51,928","19,554","151,006","157,152","8,959,372","7,181,055","1,778,317","283,575",234,"169,835","113,506",0
2008,24,MN STATE GOVT,63008,"18,320,891","712,463","7,433,063","4,550,838","2,882,225","72,563","43,219","347,045","648,565",967,47,"419,127","1,350,692","1,011,289","1,682","1,137","7,400","57,947","561,681","511,513","50,168",836,"330,155","50,451","8,817,738","7,777,259","1,040,479","346,338","115,523","198,994","31,821",0
2008,25,MS STATE GOVT,63008,"6,745,743","23,979","4,229,443","3,135,390","1,094,053","42,092","194,037","193,872","442,119",0,"1,954","58,327","161,652","418,771","2,929","4,826","129,770","15,398","157,588","123,203","34,385","7,897","84,158","16,205","1,935,722","1,551,079","384,643","137,828","1,215",0,"135,248","1,365"
2008,26,MO STATE GOVT,63008,"10,919,336","28,970","4,770,631","3,228,274","1,542,357","31,173","345,771","283,960","736,303",0,0,"109,365","35,785","604,928","4,771","1,770","88,705","30,544","285,001","269,443","15,558","20,930","155,020","18,187","5,502,859","5,118,849","384,010","11,948","3,137","8,728",21,62
2008,27,MT STATE GOVT,63008,"2,457,929","220,327","544,402",0,"544,402","27,166","63,150","65,419","205,819",73,"48,843","94,020","39,912","311,029","2,944","8,220","3,128","46,797","151,888","143,972","7,916",10,"90,416","7,626","1,031,777","870,064","161,713","350,394",18,0,"347,221","3,155"
2008,28,NE STATE GOVT,63008,"4,228,800","2,264","2,035,441","1,534,134","501,307","26,254","5,659","37,250","294,149",234,"56,592","75,479","5,690","206,783",453,363,"7,157","15,490","99,580","90,845","8,735",0,"62,755","20,985","1,958,997","1,726,145","232,852","25,315","6,844","13,503","4,968",0
2008,29,NV STATE GOVT,63008,"6,148,455","213,293","4,942,079","3,077,433","1,864,646","40,401","1,047,800","256,814","311,953",0,"20,849","134,617","52,212","541,796",0,"96,682","72,249","8,563","186,029","169,896","16,133",0,"172,781","5,492",0,0,0,"451,287",0,"92,555","74,130","284,602"
2008,30,NH STATE GOVT,63008,"2,251,179","387,623","792,947",0,"792,947","12,508",236,"85,820","137,206","2,916","78,723","169,789","305,749","215,878","3,061",322,"39,082","9,720","106,905","93,679","13,226","7,123","46,844","2,821","732,730","117,936","614,794","122,001",132,"121,869",0,0
2008,31,NJ STATE GOVT,63008,"30,616,510","2,998","12,519,601","8,915,515","3,604,086","104,104","412,986","542,920","563,266",0,"930,457","789,351","261,002","1,452,361","7,804","76,272","313,322","13,211","469,743","432,164","37,579","1,475","567,840","2,694","15,425,451","12,605,545","2,819,906","1,216,099","698,694","517,405",0,0
2008,32,NM STATE GOVT,63008,"5,211,507","57,665","2,662,257","1,922,922","739,335","41,230","59,742","144,256","250,418",660,"35,777","48,235","159,017","254,544","3,061",531,"16,941","23,104","184,147","179,367","4,780","1,127","25,438",195,"1,601,900","1,198,400","403,500","635,141",39,0,"625,938","9,164"
2008,33,NY STATE GOVT,33108,"65,244,750",0,"20,150,046","11,294,737","8,855,309","205,253",951,"1,137,058","1,683,167","30,875","763,658","973,489","4,060,858","1,229,922","47,697",79,"70,094","43,277","893,084","748,000","145,084","12,693","147,920","15,078","41,601,778","36,563,948","5,037,830","2,263,004","1,037,531","1,225,473",0,0
2008,34,NC STATE GOVT,63008,"22,809,716",0,"8,934,786","5,269,929","3,664,857","260,382","14,267","506,003","1,582,400",0,"388,780","248,159","664,866","1,435,665","14,751",0,"456,035","16,410","743,354","609,158","134,196",0,"198,359","6,756","12,200,339","10,993,927","1,206,412","238,926","176,254","60,783","1,889",0
2008,35,ND STATE GOVT,63008,"2,312,056","1,901","873,406","530,078","343,328","6,916","9,196","37,426","143,389",548,"34,438","24,127","87,288","165,810",247,285,0,"15,460","92,540","88,453","4,087",6,"57,272",0,"479,174","317,249","161,925","791,765",73,0,"791,692",0
2008,36,OH STATE GOVT,63008,"26,074,544",0,"12,745,395","7,865,674","4,879,721","92,696",0,"443,861","1,842,595","10,714","1,141,926","950,940","396,989","2,656,231","38,668","9,089","1,016,170","37,535","889,754","810,132","79,622","40,357","603,016","21,642","10,602,139","9,847,506","754,633","70,779","61,359",0,"9,420",0
2008,37,OK STATE GOVT,63008,"8,330,786",0,"3,033,802","2,096,220","937,582","86,433","10,988","146,982","384,814","1,805","30,499","252,374","23,687","891,423","5,030","86,727","52,713","17,674","646,321","631,732","14,589",5,"81,952","1,001","3,147,510","2,787,445","360,065","1,258,051","54,557","16,138","1,184,765","2,591"
2008,38,OR STATE GOVT,63008,"7,487,873","21,569","969,734",0,"969,734","15,543",50,"50,034","413,521","3,673","87,721","254,955","144,237","917,300","2,999","1,239","13,494","38,919","516,197","484,291","31,906","29,696","307,164","7,592","5,445,904","4,968,791","477,113","133,366","109,549","12,002","11,815",0
2008,39,PA STATE GOVT,63008,"32,123,740","58,681","15,306,013","8,873,309","6,432,704","277,427","791,573","698,200","2,102,168","23,230","1,354,940","1,025,822","159,344","2,822,738","16,458","261,229","813,344","71,095","876,367","814,486","61,881","49,999","717,456","16,790","12,599,859","10,408,439","2,191,420","1,336,449","803,367","507,369",0,"25,713"
2008,40,RI STATE GOVT,63008,"2,761,356","1,083","1,381,115","846,870","534,245","11,495",0,"52,553","126,718","2,806","100,332","113,998","126,343","95,792",266,710,"4,255","1,986","52,908","52,248",660,0,"35,182",485,"1,237,571","1,091,705","145,866","45,795","35,040","10,461",0,294
2008,41,SC STATE GOVT,63008,"8,435,550","9,935","4,279,163","3,051,608","1,227,555","150,065","37,957","125,696","534,252",0,"26,458","31,073","322,054","433,877","7,377","2,041","77,908","17,157","186,837","142,120","44,717",0,"131,930","10,627","3,640,400","3,327,800","312,600","72,175",344,"71,831",0,0
2008,42,SD STATE GOVT,63008,"1,321,368",0,"1,072,252","732,438","339,814","13,808","8,334","61,801","129,619",325,"3,235","63,903","58,789","172,165",319,93,"3,210","27,733","49,798","47,285","2,513",0,"78,529","12,483","69,879",0,"69,879","7,072",113,121,"6,838",0
2008,43,TN STATE GOVT,63008,"11,538,430",0,"8,612,382","6,832,948","1,779,434","116,189",0,"401,997","872,892",0,"9,627","272,433","106,296","1,287,826","12,222",252,"644,694","32,401","314,003","270,176","43,827","5,770","271,065","7,419","1,296,866","290,986","1,005,880","341,356","103,464","199,971","2,357","35,564"
2008,44,TX STATE GOVT,83108,"45,536,833",0,"34,367,305","21,630,136","12,737,169","784,069","36,318","1,452,882","3,103,170","11,906","1,015,882","1,446,895","4,886,047","7,039,520","52,891","8,210","4,474,458","93,664","1,573,033","1,456,101","116,932","24,066","719,279","93,919",0,0,0,"4,130,008","5,580",0,"4,124,428",0
2008,45,UT STATE GOVT,63008,"6,109,256",0,"2,644,034","1,964,119","679,915","39,697",0,"132,454","377,261",0,"30,619","62,246","37,638","371,300","1,934",0,"3,633","27,417","293,792","280,189","13,603",0,"38,417","6,107","2,987,767","2,593,129","394,638","106,155",95,0,"106,060",0
2008,46,VT STATE GOVT,63008,"2,544,197","810,051","855,261","338,941","516,320","19,812",0,"57,267","91,535",0,"10,532","59,247","277,927","124,736",382,34,"4,887","6,166","84,117","79,077","5,040",0,"27,221","1,929","707,802","623,019","84,783","46,347","15,688","26,972",0,"3,687"
2008,47,VA STATE GOVT,63008,"18,322,873","22,153","6,008,032","3,571,486","2,436,546","175,654",72,"396,858","920,063",0,"150,237","168,118","625,544","653,076","11,235",119,"54,591","22,368","401,108","355,683","45,425",0,"159,171","4,484","10,902,062","10,114,833","787,229","737,550","153,377","455,719","2,060","126,394"
2008,48,WA STATE GOVT,63008,"17,959,833","1,741,691","14,400,668","11,344,622","3,056,046","266,939",43,"415,028","1,169,900","3,221","468,017","413,488","319,410","953,113","11,217","15,457","25,029","31,944","549,400","487,422","61,978","21,521","246,271","52,274",0,0,0,"864,361","110,602","709,721","44,038",0
2008,49,WV STATE GOVT,63008,"4,881,908","4,627","2,266,891","1,109,822","1,157,069","9,465",0,"114,156","404,221","2,870","158,141","114,669","353,547","193,468","16,327",15,"6,750","16,457","90,458","86,754","3,704","20,811","42,437",213,"2,057,585","1,518,746","538,839","359,337",46,"11,699","347,592",0
2008,50,WI STATE GOVT,63008,"14,915,012","124,513","6,317,062","4,268,068","2,048,994","54,789",388,"172,073","1,001,339",908,"327,060","485,470","6,967","909,664","1,360",549,"18,360","69,615","443,197","406,806","36,391","59,542","312,167","4,874","7,329,966","6,466,878","863,088","233,807","158,790","59,448","5,290","10,279"
2008,51,WY STATE GOVT,63008,"2,404,843","278,812","1,115,861","981,198","134,663","1,633",0,"26,040","75,013",177,"3,308","27,362","1,130","120,773",0,0,"10,870","32,691","57,937","55,722","2,215",0,"19,275",0,0,0,0,"889,397",880,0,"883,786","4,731"
2007,0,US STATE GOVTS,N/A,"757,467,232","12,617,997","352,705,511","238,303,540","114,401,971","5,166,491","6,055,176","15,413,124","36,543,382","232,123","14,332,765","15,299,135","21,359,775","46,696,709","447,986","650,482","8,570,097","1,431,611","21,613,174","19,469,613","2,143,561","1,345,619","11,848,896","788,844","318,778,597","265,863,142","52,915,455","26,668,418","4,923,712","10,223,937","11,063,600","457,169"
