year,state,name,FiscalYear, Total Taxes , Property Tax (T01) , Tot Sales & Gr Rec Tax , Total Gen Sales Tax (T09) , Total Select Sales Tax , Alcoholic Beverage Tax (T10) , Amusement Tax (T11) , Insurance Premium Tax (T12) , Motor Fuels Tax (T13) , Parimutuels Tax (T14) , Public Utility Tax (T15) , Tobacco Tax (T16) , Other Select Sales Tax (T19) , Total License Taxes , Alcoholic Beverage Lic (T20) , Amusement License (T21) , Corporation License (T22) , Hunt and Fish License (T23) , Motor Veh & Oper Lic , Motor Vehicle License (T24) , Motor Veh Oper License (T25) , Public Utility License (T27) , Occup and Bus Lic NEC (T28) , Other License Taxes (T29) , Total Income Taxes , Individual Income Tax (T40) , Corp Net Income Tax (T41) , Total Other Taxes , Death and Gift Tax (T50) , Docum and Stock Tr Tax (T51) , Severance Tax (T53) , Taxes NEC (T99) 
2017,21,KY STATE GOVT,63017,"11,907,759","709,772","5,649,708","3,490,639","2,159,069","146,227",174,"153,728","701,440","6,643","58,298","243,096","849,463","500,447","6,638",277,"110,072","28,532","225,216","208,389","16,827",X,"125,994","3,718","4,852,835","4,394,185","458,650","194,997","46,345","3,530","145,122",0
2017,22,LA STATE GOVT,63017,"11,104,720","70,366","7,014,497","4,215,378","2,799,119","77,107","698,306","813,975","634,883","4,659","9,110","174,001","387,078","368,318",X,X,"125,998","30,684","96,989","83,002","13,987","6,182","104,207","4,258","3,241,260","2,949,939","291,321","410,279",X,X,"410,279",0
2017,23,ME STATE GOVT,63017,"4,232,556","38,643","2,165,142","1,441,867","723,275","19,266","54,400","95,943","252,870","1,479","21,944","144,243","133,130","274,760","6,698",586,"10,577","16,579","120,748","109,723","11,025",X,"109,737","9,835","1,710,105","1,534,866","175,239","43,906","11,718","32,188",X,0
2017,24,MD STATE GOVT,63017,"21,599,795","777,064","9,242,760","4,609,538","4,633,222","32,151","847,455","516,533","1,078,313","1,182","138,251","386,965","1,632,372","866,391","1,486","2,780","109,767","18,043","538,976","501,360","37,616",X,"193,485","1,854","10,068,643","9,066,709","1,001,934","644,937","227,940","214,581",X,"202,416"
2017,25,MA STATE GOVT,63017,"27,518,360","6,598","8,818,347","6,240,822","2,577,525","85,397","65,744","397,519","769,442",902,"26,727","619,437","612,357","1,112,162","3,634","14,825","26,645","5,482","535,760","438,855","96,905",X,"290,524","235,292","16,920,751","14,724,277","2,196,474","660,502","336,633","323,869",X,0
2017,26,MI STATE GOVT,93017,"28,628,517","2,124,075","13,696,741","9,223,737","4,473,004","159,378","113,048","337,254","1,210,628","3,487","28,381","1,038,594","1,582,234","1,787,867","19,204",X,"24,509","63,756","1,250,765","1,191,927","58,838","33,180","167,908","228,545","10,680,724","9,485,325","1,195,399","339,110",26,"310,149","28,935",0
2017,27,MN STATE GOVT,63017,"25,594,522","854,945","10,607,635","5,888,795","4,718,840","88,222","63,870","486,403","912,644",863,54,"681,018","2,485,766","1,477,319","2,611","1,195","8,551","63,665","836,605","790,116","46,489",681,"500,603","63,408","12,183,233","10,956,205","1,227,028","471,390","129,657","245,089","46,593","50,051"
2017,28,MS STATE GOVT,63017,"7,783,031","28,589","4,988,338","3,526,913","1,461,425","41,835","132,778","327,778","443,522",X,"1,490","145,059","368,963","480,741","1,243","26,664","127,445","2,562","170,557","157,290","13,267","6,549","76,882","68,839","2,242,601","1,834,688","407,913","42,762",4,X,"42,758",0
2017,29,MO STATE GOVT,63017,"12,495,505","31,643","5,403,936","3,604,570","1,799,366","37,863","366,839","432,560","720,849",X,X,"100,391","140,864","590,747","5,304","2,178","2,678","33,083","304,098","288,210","15,888","19,937","147,569","75,900","6,456,911","6,149,468","307,443","12,268",0,"12,191",18,59
2017,30,MT STATE GOVT,63017,"2,654,444","274,431","576,214",X,"576,214","32,926","59,819","108,383","189,561",46,"43,505","83,606","58,368","329,874","3,484","7,348","4,594","39,240","152,631","143,624","9,007",12,"111,462","11,103","1,302,961","1,177,958","125,003","170,964",X,X,"167,484","3,480"
2017,31,NE STATE GOVT,63017,"5,103,105",123,"2,407,514","1,835,037","572,477","30,911","5,780","54,350","354,234",154,"44,297","56,954","25,797","182,791",715,534,"6,260","15,861","121,513","110,538","10,975",X,"36,916",992,"2,492,926","2,228,486","264,440","19,751",X,"16,462","3,289",0
2017,32,NV STATE GOVT,63017,"8,624,618","300,490","6,923,284","4,756,243","2,167,041","45,011","919,642","359,741","326,425",3,"24,676","195,371","296,172","666,527",X,"85,047","77,101","13,447","243,976","213,455","30,521",X,"242,142","4,814",X,X,X,"734,317",X,"90,479","68,605","575,233"
2017,33,NH STATE GOVT,63017,"2,496,719","405,186","959,384",X,"959,384","12,678",538,"108,013","152,086",633,"53,427","203,102","428,907","329,719","17,263",322,"63,123","11,233","110,743","102,438","8,305","21,540","104,531",964,"639,120","65,467","573,653","163,310",X,"163,310",X,0
2017,34,NJ STATE GOVT,63017,"32,325,850","4,761","13,388,614","9,591,881","3,796,733","137,757","218,650","579,642","532,878",X,"984,612","697,577","645,617","1,550,059","4,199","47,211","234,436","13,720","725,061","667,056","58,005","7,360","516,093","1,979","16,068,049","13,958,119","2,109,930","1,314,367","748,630","565,736",X,1
2017,35,NM STATE GOVT,63017,"5,776,271","81,694","3,069,641","2,258,767","810,874","44,916","77,959","163,453","242,627",842,"30,633","89,703","160,741","307,671",0,556,"30,013","30,779","201,677","196,303","5,374","1,438","43,208",0,"1,430,644","1,338,768","91,876","886,621",1,X,"886,620",0
2017,36,NY STATE GOVT,33117,"79,678,037",X,"25,362,583","14,132,141","11,230,442","257,690","2,930","1,381,080","1,647,240","16,396","811,992","1,265,699","5,847,415","1,814,065","62,334",X,"26,241","44,172","1,542,251","1,403,555","138,696","11,068","126,505","1,494","48,658,122","44,631,769","4,026,353","3,843,267","1,190,881","1,312,358",X,"1,340,028"
2017,37,NC STATE GOVT,63017,"26,855,304",X,"11,699,036","7,656,898","4,042,138","394,838",7,"517,095","1,922,400",X,259,"292,138","915,401","2,235,904","26,601",184,"826,775","33,799","960,964","831,878","129,086","19,745","341,503","26,333","12,843,373","12,086,332","757,041","76,991",713,"74,386","1,892",0
2017,38,ND STATE GOVT,63017,"3,465,326","4,401","1,349,428","872,176","477,252","8,872","3,161","63,558","189,718","1,728","46,595","28,977","134,643","213,985",381,"1,123",X,"18,370","123,954","119,853","4,101",5,"70,152",0,"380,378","319,507","60,871","1,517,134",X,X,"1,517,134",0
2017,39,OH STATE GOVT,63017,"30,306,468",X,"19,573,408","13,343,149","6,230,259","107,060","261,950","629,684","1,984,392","5,525","1,147,894","1,109,777","983,977","2,300,778","42,978","36,094","263,294","38,186","927,986","840,327","87,659","38,590","901,294","52,356","8,386,283","8,377,450","8,833","45,999",743,X,"45,256",0
2017,40,OK STATE GOVT,63017,"8,569,402",X,"3,764,895","2,465,383","1,299,512","118,260","20,807","304,448","473,960","1,064","42,267","320,200","18,506","1,062,358","1,360","158,766","52,963","20,344","780,943","753,639","27,304",4,"47,252",726,"3,280,496","3,122,602","157,894","461,653",177,"19,505","441,971",0
2017,41,OR STATE GOVT,63017,"11,914,567","20,065","1,598,677",X,"1,598,677","18,796",X,"68,481","529,658","1,928","113,022","247,406","619,386","1,067,836","4,706","2,858","37,421","55,759","578,325","539,474","38,851","14,577","367,539","6,651","9,012,271","8,379,225","633,046","215,718","198,363","2,062","15,293",0
2017,42,PA STATE GOVT,63017,"37,853,091","43,360","19,629,437","10,509,734","9,119,703","386,816","1,406,354","808,250","3,143,576","10,381","1,235,942","1,401,259","727,125","2,240,809","34,222","12,672","18,752","74,991","998,579","928,512","70,067","83,718","997,941","19,934","14,408,126","12,063,782","2,344,344","1,531,359","931,908","577,586",X,"21,865"
2017,44,RI STATE GOVT,63017,"3,266,663","2,633","1,691,782","996,390","695,392","20,873",X,"120,587","90,990","1,122","97,711","140,074","224,035","110,461",143,222,"5,281","1,691","31,377","26,788","4,589","2,454","64,367","4,926","1,368,660","1,238,928","129,732","93,127","70,601","22,526",X,0
2017,45,SC STATE GOVT,63017,"9,828,825","37,518","4,637,349","3,285,007","1,352,342","177,317","38,814","228,259","583,476",X,"28,278","26,383","269,815","518,886","13,601","6,918","68,181","17,907","236,668","229,898","6,770","10,268","146,152","19,191","4,517,931","4,142,276","375,655","117,141",X,"117,141",X,0
2017,46,SD STATE GOVT,63017,"1,828,543",X,"1,517,973","1,065,361","452,612","16,933","8,853","66,496","189,133",319,"3,103","61,809","105,966","269,481","1,166","6,573","5,049","29,866","88,357","82,947","5,410",X,"114,821","23,649","30,728",X,"30,728","10,361",X,185,"10,176",0
